,Trait,Sequence,Model,Log-likelihood,Corrected AIC,LOCO MSE,Z0,True Z0,Zeq
106,longest_ORF_alan,segment_11935_12275,NeutralModel (fixed u=1.34),-142.26541606488624,293.7808321297725,0.0,171.6783935010895,50.0,-751.2615851116345
107,longest_ORF_alan,segment_11935_12275,OU,-275.3502030699003,559.9504061398006,0.0,49.833492536602286,50.0,0.26831602441186153
108,longest_ORF_alan,segment_11935_12275,OU (Z0=Zeq),-244.6627437620195,496.0527602513117,0.0,64.50725425237293,50.0,64.50725425237293
109,longest_ORF_alan,segment_11935_12275,BM,-146.80841552561154,297.9697722276937,0.0,50.17020491320798,50.0,50.17020491320798
110,gc_content,segment_7916_8695,NeutralModel,141.05246364105795,-270.340221399763,0.0,0.46662450658119486,0.4256410256410256,0.11828856297263103
111,gc_content,segment_7916_8695,NeutralModel (fixed u=1.34),141.08584849436838,-273.0288398458796,0.0,0.46773278842808214,0.4256410256410256,0.19478281151334964
112,gc_content,segment_7916_8695,"NeutralModel (fixed u=1.34, Z_eq=0.44)",141.08584849165953,-275.5050303166524,0.0,0.4677305034275478,0.4256410256410256,0.19479825296984582
113,gc_content,segment_7916_8695,"NeutralModel (fixed u=1.34, Z_eq=0.44, sigma_eq=0.2464/L)",139.1763860753811,-274.02844782643785,0.0,0.45104645531945087,0.4256410256410256,0.30264585852807524
114,gc_content,segment_7916_8695,OU,138.91581998217654,-268.6887828214959,0.0,0.4405014881312797,0.4256410256410256,0.2207801696524575
115,gc_content,segment_7916_8695,OU (Z0=Zeq),140.71834877835897,-274.77003089005126,0.0,0.43173510337634396,0.4256410256410256,0.43173510337634396
116,gc_content,segment_7916_8695,BM,138.7302507748849,-273.13617722544546,0.0,0.4314387573980333,0.4256410256410256,0.4314387573980333
117,longest_ORF,segment_7916_8695,NeutralModel,104.00078059405084,-196.23685530574875,0.0,-0.001224612765294437,0.09615384615384616,1.0481492379413322
118,longest_ORF,segment_7916_8695,NeutralModel (fixed u=1.34),103.95721750657815,-198.77157787029915,0.0,-0.003706024140944047,0.09615384615384616,0.8118964547395942
119,longest_ORF,segment_7916_8695,OU,104.11825169974404,-199.09364625663093,0.0,0.005619317919342376,0.09615384615384616,44.30733856347437
120,longest_ORF,segment_7916_8695,OU (Z0=Zeq),103.8037855858984,-200.94090450513013,0.0,0.10372394348792552,0.09615384615384616,0.10372394348792552
121,longest_ORF,segment_7916_8695,BM,103.80444757322404,-203.28457082212375,0.0,0.10403603273996323,0.09615384615384616,0.10403603273996323
122,A_percent,segment_7916_8695,NeutralModel,154.40950225927847,-297.054298636204,0.0,0.2779751665080996,0.2794871794871795,0.28262103904966285
123,A_percent,segment_7916_8695,NeutralModel (fixed u=1.34),154.34080208422222,-299.53874702558727,0.0,0.27122198115119095,0.2794871794871795,0.3261612583257212
124,A_percent,segment_7916_8695,OU,152.89748108662747,-296.65210503039776,0.0,0.2665255221809501,0.2794871794871795,0.787499650672038
125,A_percent,segment_7916_8695,OU (Z0=Zeq),153.26699788270838,-299.8673290987501,0.0,0.2786496711185767,0.2794871794871795,0.2786496711185767
126,A_percent,segment_7916_8695,BM,153.02490623130572,-301.7254881382871,0.0,0.2786769912862037,0.2794871794871795,0.2786769912862037
127,longest_ORF_alan,segment_7916_8695,NeutralModel,-167.47934772520148,346.7234013327559,0.0,-235.25490093146536,60.0,1304.9512907136245
128,longest_ORF_alan,segment_7916_8695,NeutralModel (fixed u=1.34),-166.31349617103803,341.7698494849332,0.0,-168.72220224072257,60.0,1530.3032616783205
129,longest_ORF_alan,segment_7916_8695,OU,-166.71504299707286,342.5729431370029,0.0,-308.29951103037894,60.0,292.8266680066861
130,longest_ORF_alan,segment_7916_8695,OU (Z0=Zeq),-169.44569798885044,345.55806264436757,0.0,56.01393887355652,60.0,56.01393887355652
131,longest_ORF_alan,segment_7916_8695,BM,-170.80830117249903,345.9409266693224,0.0,58.415328868196305,60.0,58.415328868196305
