,Trait,Sequence,Model,Corrected AIC,LOCO MSE,Z0,Zeq
79,longest_ORF_alan,segment_10270_10563,BM,312.6357857109913,6764.83992901,46.99694651765361,46.99694651765361
80,gc_content,segment_11935_12275,NeutralModel,-240.70526191394777,0.00317034,0.5642661277159825,-0.2667457692490603
81,gc_content,segment_11935_12275,NeutralModel (fixed u=1.3),-243.31927646554686,0.00317965,0.5662541232749699,-0.0984925635077408
82,gc_content,segment_11935_12275,OU,-243.619207731082,0.00334147,0.558124303738548,-154.63527115748803
83,gc_content,segment_11935_12275,OU (Z0=Zeq),-244.425247277857,0.00321866,0.4814866494019942,0.4814866494019942
84,gc_content,segment_11935_12275,BM,-247.03157623633578,0.00320903,0.48148194309169684,0.48148194309169684
85,longest_ORF,segment_11935_12275,NeutralModel,-104.09497147339283,0.06922915,0.4403790138130173,-0.8083028363085465
86,longest_ORF,segment_11935_12275,NeutralModel (fixed u=1.3),-105.70126074579676,0.06989644,0.4487134204976743,-1.4692828756359904
87,longest_ORF,segment_11935_12275,OU,-127.18080817860624,0.05764484,12.041721853033545,0.1976051645267555
88,longest_ORF,segment_11935_12275,OU (Z0=Zeq),-129.71509999228107,0.05702043,0.1987193764508819,0.1987193764508819
89,longest_ORF,segment_11935_12275,BM,-107.92939938670433,0.06685972,0.20443639895824262,0.20443639895824262
90,A_percent,segment_11935_12275,NeutralModel,-229.23274192260158,0.00461612,0.1290826610262086,1.2054537574986175
91,A_percent,segment_11935_12275,NeutralModel (fixed u=1.3),-231.91294066159008,0.0045833,0.1279273312970305,1.1300238876410362
92,A_percent,segment_11935_12275,OU,-231.8898702630675,0.00425793,0.128796814904668,1.0776264381033527
93,A_percent,segment_11935_12275,OU (Z0=Zeq),-231.88250761477016,0.00500888,0.25574092718503316,0.25574092718503316
94,A_percent,segment_11935_12275,BM,-234.29873107112527,0.00501231,0.25573384456872245,0.25573384456872245
95,longest_ORF_alan,segment_11935_12275,NeutralModel,301.22281515977863,4147.7275294,200.7585550414283,-594.4090879983775
96,longest_ORF_alan,segment_11935_12275,NeutralModel (fixed u=1.3),298.88675673373433,3809.13031337,195.89986980707727,-946.4904918610545
97,longest_ORF_alan,segment_11935_12275,OU,509.4738288620726,4268.72350596,49.930984056124686,0.29189244759930943
98,longest_ORF_alan,segment_11935_12275,OU (Z0=Zeq),668.6977484530712,4170.14109784,65.26699177013491,65.26699177013491
99,longest_ORF_alan,segment_11935_12275,BM,297.9697584668787,3955.72308264,50.17032765746888,50.17032765746888
100,gc_content,segment_7916_8695,NeutralModel,-266.7765369706884,0.0026319,0.4422421035486934,0.3348825375438694
101,gc_content,segment_7916_8695,NeutralModel (fixed u=1.3),-269.69611439934795,0.00262839,0.4528710498078799,0.2861908620982085
102,gc_content,segment_7916_8695,OU,-268.3316836254645,0.00256057,0.4278745674823269,0.8477685708245201
103,gc_content,segment_7916_8695,OU (Z0=Zeq),-271.44420647910573,0.00252906,0.4314590379135026,0.4314590379135026
